Instance,clase,v,cplex1,ob1,ob21,gap1,cplex2,ob2,ob12,gap2,gap21,gap12,opt1,opt21,opt2,opt12
p2.2.k_c.txt,1,2,120,120,120,0.0,105.0,105.0,105.0,-0.0,0.0,-0.0,0,0,0,0
p2.2.k_c.txt,1,2,120,120,120,0.0,105.0,105.0,105.0,-0.0,0.0,-0.0,0,0,0,0
p2.2.k_c.txt,1,2,120,120,120,0.0,105.0,105.0,105.0,-0.0,0.0,-0.0,0,0,0,0
p2.2.k_c.txt,1,2,120,120,120,0.0,105.0,105.0,105.0,-0.0,0.0,-0.0,0,0,0,0
p2.2.k_c.txt,1,2,120,120,120,0.0,105.0,105.0,105.0,-0.0,0.0,-0.0,0,0,0,0
p2.2.k_c.txt,1,2,120,120,115,0.0,105.0,110.0,105.0,4.76,4.17,-0.0,0,0,0,0
p2.2.k_c.txt,1,2,120,120,120,0.0,105.0,105.0,105.0,-0.0,0.0,-0.0,0,0,0,0
p2.2.k_c.txt,1,2,120,120,120,0.0,105.0,105.0,105.0,-0.0,0.0,-0.0,0,0,0,0
p2.2.k_c.txt,1,2,120,120,115,0.0,105.0,110.0,105.0,4.76,4.17,-0.0,0,0,0,0
p2.3.a_c.txt,1,3,20,20,20,0.0,130.0,130.0,130.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.a_c.txt,1,3,20,20,20,0.0,130.0,130.0,130.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.a_c.txt,1,3,20,20,20,0.0,130.0,130.0,130.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.a_c.txt,1,3,20,20,20,0.0,130.0,130.0,130.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.a_c.txt,1,3,20,20,20,0.0,130.0,130.0,130.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.a_c.txt,1,3,20,20,20,0.0,130.0,130.0,130.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.a_c.txt,1,3,20,20,20,0.0,130.0,130.0,130.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.a_c.txt,1,3,20,20,20,0.0,130.0,130.0,130.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.a_c.txt,1,3,20,20,20,0.0,130.0,130.0,130.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.a_c.txt,1,3,20,20,20,0.0,130.0,130.0,130.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.b_c.txt,1,3,20,20,20,0.0,130.0,130.0,130.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.b_c.txt,1,3,20,20,20,0.0,130.0,130.0,130.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.b_c.txt,1,3,20,20,20,0.0,130.0,130.0,130.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.b_c.txt,1,3,20,20,20,0.0,130.0,130.0,130.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.b_c.txt,1,3,20,20,20,0.0,130.0,130.0,130.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.b_c.txt,1,3,20,20,20,0.0,130.0,130.0,130.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.b_c.txt,1,3,20,20,20,0.0,130.0,130.0,130.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.b_c.txt,1,3,20,20,20,0.0,130.0,130.0,130.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.b_c.txt,1,3,20,20,20,0.0,130.0,130.0,130.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.b_c.txt,1,3,20,20,20,0.0,130.0,130.0,130.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.c_c.txt,1,3,25,25,25,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.c_c.txt,1,3,25,25,25,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.c_c.txt,1,3,25,25,25,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.c_c.txt,1,3,25,25,25,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.c_c.txt,1,3,25,25,25,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.c_c.txt,1,3,25,25,25,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.c_c.txt,1,3,25,25,25,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.c_c.txt,1,3,25,25,25,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.c_c.txt,1,3,25,25,25,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.c_c.txt,1,3,25,25,25,0.0,125.0,125.0,125.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.d_c.txt,1,3,30,30,25,0.0,120.0,125.0,120.0,4.17,16.67,-0.0,1,1,1,1
p2.3.d_c.txt,1,3,30,30,30,0.0,120.0,120.0,120.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.d_c.txt,1,3,30,30,30,0.0,120.0,120.0,120.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.d_c.txt,1,3,30,30,30,0.0,120.0,120.0,120.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.d_c.txt,1,3,30,30,30,0.0,120.0,120.0,120.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.d_c.txt,1,3,30,30,30,0.0,120.0,120.0,120.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.d_c.txt,1,3,30,30,25,0.0,120.0,125.0,120.0,4.17,16.67,-0.0,1,1,1,1
p2.3.d_c.txt,1,3,30,30,25,0.0,120.0,125.0,120.0,4.17,16.67,-0.0,1,1,1,1
p2.3.d_c.txt,1,3,30,30,25,0.0,120.0,125.0,120.0,4.17,16.67,-0.0,1,1,1,1
p2.3.d_c.txt,1,3,30,30,25,0.0,120.0,125.0,120.0,4.17,16.67,-0.0,1,1,1,1
p2.3.e_c.txt,1,3,40,40,30,0.0,110.0,120.0,110.0,9.09,25.0,-0.0,1,1,1,1
p2.3.e_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.e_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.e_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.e_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.e_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.e_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.e_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.e_c.txt,1,3,40,40,35,0.0,110.0,115.0,110.0,4.55,12.5,-0.0,1,1,1,1
p2.3.e_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.f_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.f_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.f_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.f_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.f_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.f_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.f_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.f_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.f_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.f_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.g_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.g_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.g_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.g_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,0,0,1
p2.3.g_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,0,0,1
p2.3.g_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,0,0,1
p2.3.g_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,0,0,1
p2.3.g_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.g_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.g_c.txt,1,3,40,40,40,0.0,110.0,110.0,110.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.h_c.txt,1,3,45,45,45,0.0,105.0,105.0,105.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.h_c.txt,1,3,45,45,45,0.0,105.0,105.0,105.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.h_c.txt,1,3,45,45,45,0.0,105.0,105.0,105.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.h_c.txt,1,3,45,45,45,0.0,105.0,105.0,105.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.h_c.txt,1,3,45,45,45,0.0,105.0,105.0,105.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.h_c.txt,1,3,45,45,45,0.0,105.0,105.0,105.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.h_c.txt,1,3,45,45,45,0.0,105.0,105.0,105.0,-0.0,0.0,-0.0,1,1,1,1
